Motif_ID	motifLen
M07778_2.00	36
M08399_2.00	21
M07776_2.00	28
M04527_2.00	19
M04528_2.00	19
M02900_2.00	19
M07605_2.00	30
M10214_2.00	0
M10215_2.00	0
M08093_2.00	13
M07739_2.00	21
M07643_2.00	29
M04619_2.00	10
M04620_2.00	10
M08264_2.00	15
M08370_2.00	9
M08944_2.00	20
M07760_2.00	12
M07719_2.00	9
M08379_2.00	13
M08950_2.00	12
M07743_2.00	7
M08395_2.00	15
M08959_2.00	24
M04386_2.00	10
M04387_2.00	10
M07563_2.00	9
M07843_2.00	21
M07844_2.00	15
M08082_2.00	21
M08272_2.00	21
M08851_2.00	20
M10099_2.00	0
M10100_2.00	0
M07568_2.00	30
M08235_2.00	15
M08282_2.00	12
M08860_2.00	24
M07641_2.00	15
M07676_2.00	21
M07735_2.00	9
M08268_2.00	17
M08385_2.00	12
M04549_2.00	16
M04550_2.00	16
M07632_2.00	15
M07933_2.00	17
M07934_2.00	15
M07935_2.00	15
M07936_2.00	15
M08916_2.00	20
M04495_2.00	25
M04496_2.00	26
M07748_2.00	18
M08332_2.00	24
M04509_2.00	12
M04510_2.00	12
M08321_2.00	12
M08906_2.00	15
M10237_2.00	0
M02904_2.00	17
M04541_2.00	14
M04542_2.00	14
M05849_2.00	11
M07626_2.00	6
M07619_2.00	24
M07679_2.00	9
M07777_2.00	21
M07590_2.00	33
M04543_2.00	11
M04544_2.00	11
M07613_2.00	15
M07621_2.00	15
M08330_2.00	21
M07594_2.00	29
M07570_2.00	18
M07587_2.00	24
M07734_2.00	21
M10321_2.00	0
M10322_2.00	0
M07584_2.00	24
M08242_2.00	9
M08308_2.00	12
M08890_2.00	20
M04535_2.00	15
M04536_2.00	15
M07667_2.00	21
M08362_2.00	24
M08936_2.00	20
M08259_2.00	17
M08357_2.00	21
M08931_2.00	20
M07566_2.00	15
M08280_2.00	15
M08858_2.00	23
M07769_2.00	21
M08359_2.00	21
M08933_2.00	20
M07585_2.00	12
M08309_2.00	27
M08891_2.00	20
M07607_2.00	9
M10234_2.00	0
M07740_2.00	28
M08952_2.00	22
M07583_2.00	15
M07695_2.00	6
M08263_2.00	22
M08369_2.00	9
M07710_2.00	21
M08371_2.00	15
M08310_2.00	21
M08892_2.00	22
M04404_2.00	17
M04405_2.00	17
M07569_2.00	9
M04653_2.00	22
M04654_2.00	22
M08250_2.00	21
M08334_2.00	30
M10257_2.00	0
M08396_2.00	21
M08960_2.00	18
M07622_2.00	15
M08331_2.00	15
M08914_2.00	24
M07653_2.00	12
M02666_2.00	6
M10272_2.00	0
M08279_2.00	9
M07608_2.00	21
M08247_2.00	15
M08319_2.00	24
M08904_2.00	22
M07689_2.00	27
M04451_2.00	22
M04452_2.00	22
M08090_2.00	12
M08306_2.00	9
M08888_2.00	12
M10209_2.00	0
M04481_2.00	12
M04482_2.00	12
M08318_2.00	20
M08903_2.00	20
M04611_2.00	11
M04612_2.00	11
M07716_2.00	14
M08245_2.00	15
M08313_2.00	33
M08896_2.00	24
M02882_2.00	17
M04435_2.00	14
M04436_2.00	14
M05850_2.00	16
M08252_2.00	15
M08337_2.00	15
M08234_2.00	18
M07639_2.00	21
M07712_2.00	30
M08376_2.00	15
M08948_2.00	17
M07572_2.00	21
M08291_2.00	21
M10151_2.00	14
M07758_2.00	7
M10320_2.00	0
M07714_2.00	21
M07575_2.00	18
M07711_2.00	15
M07773_2.00	30
M07726_2.00	15
M08305_2.00	15
M08887_2.00	24
M07627_2.00	14
M07731_2.00	30
M07628_2.00	15
M07717_2.00	12
M07742_2.00	29
M07659_2.00	21
M04529_2.00	16
M04530_2.00	16
M07674_2.00	29
M04560_2.00	15
M04561_2.00	10
M04562_2.00	10
M04563_2.00	15
M08344_2.00	21
M08922_2.00	11
M07579_2.00	11
M08241_2.00	15
M08304_2.00	9
M04571_2.00	15
M04572_2.00	14
M04573_2.00	15
M04574_2.00	14
M07651_2.00	29
M08256_2.00	7
M08346_2.00	27
M04627_2.00	13
M04628_2.00	13
M07727_2.00	12
M08260_2.00	21
M08358_2.00	12
M08932_2.00	22
M07754_2.00	12
M07673_2.00	18
M07745_2.00	12
M07638_2.00	15
M07581_2.00	21
M07741_2.00	15
M07775_2.00	13
M10330_2.00	0
M08366_2.00	15
M08941_2.00	24
M07765_2.00	18
M07609_2.00	30
M04609_2.00	15
M04610_2.00	15
M08375_2.00	27
M08947_2.00	20
M07565_2.00	18
M08322_2.00	15
M07642_2.00	15
M08255_2.00	10
M10318_2.00	0
M02905_2.00	12
